Number of Training Datapoints : 79712
Number of Validation Datapoints : 4196

Training Logs

Step: 1
loss: 59.1176
grad_norm: 13818913.0
learning_rate: 0.001999732369864847
epoch: 0.0004014452027298274

Step: 100
loss: 0.5837
grad_norm: 450.974609375
learning_rate: 0.0019732369864846784
epoch: 0.04014452027298274

Step: 200
loss: 0.0025
grad_norm: 309.069580078125
learning_rate: 0.0019464739729693563
epoch: 0.08028904054596547

Step: 300
loss: 0.0022
grad_norm: 401.47113037109375
learning_rate: 0.0019197109594540345
epoch: 0.12043356081894821

Step: 400
loss: 0.0021
grad_norm: 163.6200408935547
learning_rate: 0.0018929479459387126
epoch: 0.16057808109193095

Step: 500
loss: 0.002
grad_norm: 327.5402526855469
learning_rate: 0.0018661849324233908
epoch: 0.20072260136491368

Step: 600
loss: 0.0019
grad_norm: 498.78369140625
learning_rate: 0.001839421918908069
epoch: 0.24086712163789642

Step: 700
loss: 0.002
grad_norm: 300.8548889160156
learning_rate: 0.0018126589053927473
epoch: 0.2810116419108792

Step: 800
loss: 0.0019
grad_norm: 342.8445129394531
learning_rate: 0.0017858958918774254
epoch: 0.3211561621838619

Step: 900
loss: 0.0018
grad_norm: 186.92938232421875
learning_rate: 0.0017591328783621036
epoch: 0.36130068245684466

Step: 1000
loss: 0.0019
grad_norm: 256.7528991699219
learning_rate: 0.0017323698648467817
epoch: 0.40144520272982737

Step: 1100
loss: 0.0018
grad_norm: 215.1677703857422
learning_rate: 0.0017056068513314599
epoch: 0.44158972300281013

Step: 1200
loss: 0.0019
grad_norm: 163.8228302001953
learning_rate: 0.001678843837816138
epoch: 0.48173424327579284

Step: 1300
loss: 0.0018
grad_norm: 687.027587890625
learning_rate: 0.0016520808243008164
epoch: 0.5218787635487756

Step: 1400
loss: 0.0017
grad_norm: 429.1647644042969
learning_rate: 0.0016253178107854946
epoch: 0.5620232838217584

Step: 1500
loss: 0.0018
grad_norm: 203.08607482910156
learning_rate: 0.0015985547972701727
epoch: 0.602167804094741

Step: 1600
loss: 0.0018
grad_norm: 289.3648986816406
learning_rate: 0.0015717917837548508
epoch: 0.6423123243677238

Step: 1700
